Interaction_ID,Record_Version,Customer_ID,Product_ID,Event_Time,Available_At,Updated_At,Interaction_Type,Summary_Text,Next_Action,Record_Status,Source_System,Sales_Rep_ID
INT-0000001,1,C_009817,P_030365,2020-08-01,2020-08-01,2020-08-01,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0003.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000002,1,C_009817,,2020-09-27,2020-09-27,2020-09-27,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0005.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000003,1,C_009817,P_030365,2020-08-14,2020-08-15,2020-08-15,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0007.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000004,1,C_009817,P_030365,2020-07-27,2020-07-28,2020-07-28,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0009.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000004,2,C_009817,P_030365,2020-07-27,2020-07-28,2020-08-02,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0009. اطلاعات تکمیلی ثبت شد.,جلسه قیمت,اصلاح,CRM_ACTIVITIES,REP-003
INT-0000005,1,C_009817,,2020-08-27,2020-08-29,2020-08-29,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0011.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000006,1,C_010119,P_947367,2020-09-06,2020-09-08,2020-09-08,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: ارسال نمونه؛ فوریت: مهم؛ کد پیگیری 0008.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000007,1,C_010119,P_571374,2020-04-15,2020-04-15,2020-04-15,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: فوری؛ کد پیگیری 0010.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000008,1,C_010119,,2020-09-19,2020-09-19,2020-09-19,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: مهم؛ کد پیگیری 0016.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000009,1,C_010119,P_571374,2020-04-28,2020-04-29,2020-04-29,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0020.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000010,1,C_010119,P_964660,2020-10-11,2020-10-12,2020-10-12,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0024.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-003
INT-0000011,1,C_010649,P_RARE_Product_Family_05,2021-04-29,2021-04-29,2021-04-29,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0018.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000012,1,C_010649,,2021-10-18,2021-10-18,2021-10-18,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0022.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000013,1,C_010649,P_RARE_Product_Family_05,2021-02-05,2021-02-07,2021-02-07,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0027.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000014,1,C_010649,P_RARE_Product_Family_05,2021-11-09,2021-11-11,2021-11-11,وصول مطالبات,زمان,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000015,1,C_010649,,2021-06-17,2021-06-18,2021-06-18,وصول مطالبات,زمان,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000016,1,C_010649,P_RARE_Product_Family_05,2021-09-22,2021-09-23,2021-09-23,وصول مطالبات,مشتری برنامه تسویه مرحله,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000017,1,C_010649,P_RARE_Product_Family_05,2021-03-26,2021-03-26,2021-03-26,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0036.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-008
INT-0000018,1,C_011055,,2020-05-28,2020-05-28,2020-05-28,پیگیری سفارش,زمان,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000019,1,C_011055,,2020-07-11,2020-07-13,2020-07-13,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0032.,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000020,1,C_011055,,2020-08-25,2020-08-26,2020-08-26,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0035.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000021,1,C_011055,,2022-06-26,2022-06-28,2022-06-28,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0037.,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000022,1,C_011055,P_RARE_Product_Family_03,2022-06-29,2022-06-29,2022-06-29,پیگیری سفارش,زمان,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-002
INT-0000023,1,C_014775,P_RARE_Product_Family_03,2021-03-08,2021-03-09,2021-03-09,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0036.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000024,1,C_014775,P_RARE_Product_Family_03,2021-03-16,2021-03-16,2021-03-16,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0039.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000025,1,C_014775,P_RARE_Product_Family_03,2020-10-23,2020-10-24,2020-10-24,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0048.,ارسال نمونه,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000026,1,C_014775,P_RARE_Product_Family_03,2021-03-03,2021-03-05,2021-03-05,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0050.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000027,1,C_014775,P_RARE_Product_Family_03,2021-04-03,2021-04-03,2021-04-03,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0052.,پیگیری تلفنی,ثبت اولیه,CRM_ACTIVITIES,REP-004
INT-0000028,1,C_015045,P_655926,2021-02-06,2021-02-06,2021-02-06,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0049.,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000029,1,C_015045,P_655926,2021-03-09,2021-03-10,2021-03-10,پیگیری سفارش,زمان,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000030,1,C_015045,,2021-01-30,2021-02-01,2021-02-01,وصول مطالبات,مشتری برنامه تسویه مرحله,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000031,1,C_015045,,2021-03-15,2021-03-16,2021-03-16,وصول مطالبات,مشتری برنامه تسویه مرحله,بازدید فنی,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000032,1,C_015045,P_655926,2021-02-12,2021-02-12,2021-02-12,وصول مطالبات,زمان,جلسه قیمت,ثبت اولیه,CRM_ACTIVITIES,REP-007
INT-0000033,1,C_015579,P_RARE_Product_Family_03,2020-09-20,2020-09-22,2020-09-22,پیگیری سفارش,زمان,بدون اقدام,ثبت اولیه,CRM_ACTIVITIES,REP-001
