Request_ID,Customer_ID,Product_ID,Created_At,Available_At,Request_Type,Requirement_Text,Decision_At,Status,Outcome_Text,Owner_Unit,Source_System
PDR-000001,C_683666,P_091085,2021-03-19,2021-03-19,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 473 کیلوگرم است.,2021-06-05,درحال توسعه,درخواست با محدودیت فنی فعلی سازگار نبود.,برنامه,PLM_REQUESTS
PDR-000002,C_691869,P_898933,2020-08-16,2020-08-18,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 478 کیلوگرم است.,,درحال بررسی,,کنترل کیفیت,PLM_REQUESTS
PDR-000003,C_939370,P_421045,2021-01-20,2021-01-21,بسته,ابعاد و چیدمان بسته,2021-02-27,درحال توسعه,درخواست با محدودیت فنی فعلی سازگار نبود.,برنامه,PLM_REQUESTS
PDR-000004,C_317124,P_890872,2022-04-02,2022-04-04,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 238 کیلوگرم است.,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000005,C_746892,P_979926,2021-11-23,2021-11-24,بسته,ابعاد و چیدمان بسته,,درحال بررسی,,برنامه,PLM_REQUESTS
PDR-000006,C_422697,P_RARE_Product_Family_03,2020-06-04,2020-06-04,بهبود استحکام,افزایش استحکام برای کاهش پارگی در سرعت بالاتر درخواست شد. حجم نمونه پیشنهادی 137 کیلوگرم است.,2020-07-21,فنی رد,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000007,C_010649,P_RARE_Product_Family_05,2021-05-30,2021-06-01,کاهش پرز,کاهش پرز و یکنواختی بهتر در فرایند بعدی مورد انتظار است. حجم نمونه پیشنهادی 341 کیلوگرم است.,2021-06-26,درحال توسعه,بررسی فنی و برنامه,کنترل کیفیت,PLM_REQUESTS
PDR-000008,C_746892,P_140724,2021-02-22,2021-02-24,تغییر دنیر,مشتری دنیر میانی برای محصول جدید خود درخواست کرده است. حجم نمونه پیشنهادی 203 کیلوگرم است.,2021-03-24,نمونه تأیید,نمونه برای آزمون مشتری آماده شد.,برنامه,PLM_REQUESTS
PDR-000009,C_317124,P_RARE_Product_Family_03,2021-05-27,2021-05-28,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 438 کیلوگرم است.,2021-09-04,فنی رد,نتیجه بررسی فنی و برنامه اقدام ثبت شد.,برنامه,PLM_REQUESTS
PDR-000010,C_731802,P_427325,2021-01-03,2021-01-03,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 215 کیلوگرم است.,2021-01-31,نمونه تأیید,بررسی فنی و برنامه,برنامه,PLM_REQUESTS
PDR-000011,C_113139,P_102450,2020-09-03,2020-09-04,بسته,ابعاد و چیدمان بسته,2020-10-20,فنی رد,نمونه برای آزمون مشتری آماده شد.,کنترل کیفیت,PLM_REQUESTS
PDR-000012,C_593639,P_RARE_Product_Family_03,2021-06-15,2021-06-17,تغییر تعداد فیلامنت,تعداد فیلامنت متفاوت برای رسیدن به پوشش بهتر درخواست شد. حجم نمونه پیشنهادی 304 کیلوگرم است.,2021-08-21,نمونه تأیید,درخواست با محدودیت فنی فعلی سازگار نبود.,تحقیق,PLM_REQUESTS
