customer_id,interaction_type,summary_text,updated_at,next_action,urgency
C_009817,برنامه خرید,مشتری برنامه تقریبی خرید دوره بعد را اعلام کرد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0003.,2020-08-01,جلسه قیمت,عادی
C_009817,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0005.,2020-09-27,بدون اقدام,عادی
C_009817,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0007.,2020-08-15,پیگیری تلفنی,مهم
C_009817,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0009.,2020-07-28,جلسه قیمت,عادی
C_009817,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0009. اطلاعات تکمیلی ثبت شد.,2020-08-02,جلسه قیمت,عادی
C_009817,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0011.,2020-08-29,جلسه قیمت,عادی
C_010119,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: ارسال نمونه؛ فوریت: مهم؛ کد پیگیری 0008.,2020-09-08,ارسال نمونه,مهم
C_010119,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: فوری؛ کد پیگیری 0010.,2020-04-15,پیگیری تلفنی,فوری
C_010119,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: مهم؛ کد پیگیری 0016.,2020-09-19,بازدید فنی,مهم
C_010119,قیمت و تخفیف,مشتری درخواست بازنگری قیمت برای حجم بالاتر مطرح کرد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0020.,2020-04-29,بدون اقدام,عادی
C_010119,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0024.,2020-10-12,بازدید فنی,عادی
C_010649,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0018.,2021-04-29,بازدید فنی,عادی
C_010649,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0022.,2021-10-18,پیگیری تلفنی,عادی
C_010649,خدمات فنی,نیاز به بازدید فنی و تنظیم پارامترهای مصرف مطرح شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0027.,2021-02-07,پیگیری تلفنی,عادی
C_010649,وصول مطالبات,زمان‌بندی پرداخت فاکتورهای باز با مشتری هماهنگ شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0029. اطلاعات تکمیلی در نسخه دوم ثبت شد.,2021-11-11,ارسال نمونه,عادی
C_010649,وصول مطالبات,زمان‌بندی پرداخت فاکتورهای باز با مشتری هماهنگ شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0031.,2021-06-18,پیگیری تلفنی,عادی
C_010649,وصول مطالبات,مشتری برنامه تسویه مرحله‌ای را اعلام کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0033.,2021-09-23,بازدید فنی,عادی
C_010649,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0036.,2021-03-26,ارسال نمونه,عادی
C_011055,پیگیری سفارش,زمان‌بندی ارسال و ظرفیت تحویل مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0030.,2020-05-28,بازدید فنی,عادی
C_011055,پیگیری سفارش,مشتری درباره زمان تحویل سفارش جاری پیگیری کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0032.,2020-07-13,بازدید فنی,عادی
C_011055,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0035.,2020-08-26,پیگیری تلفنی,مهم
C_011055,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0037.,2022-06-28,بدون اقدام,عادی
C_011055,پیگیری سفارش,زمان‌بندی ارسال و ظرفیت تحویل مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0047.,2022-06-29,بدون اقدام,عادی
C_014775,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0036.,2021-03-09,ارسال نمونه,عادی
C_014775,خدمات فنی,کارشناس فنی راهنمایی اولیه برای مصرف محصول ارائه کرد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0039.,2021-03-16,پیگیری تلفنی,مهم
C_014775,کیفیت محصول,بازخورد کیفی مشتری دریافت و برای بررسی فنی ارجاع شد. اقدام بعدی: ارسال نمونه؛ فوریت: عادی؛ کد پیگیری 0048.,2020-10-24,ارسال نمونه,عادی
C_014775,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: جلسه قیمت؛ فوریت: مهم؛ کد پیگیری 0050.,2021-03-05,جلسه قیمت,مهم
C_014775,کیفیت محصول,مشتری درباره یکنواختی محصول سؤال داشت و نمونه برای بررسی ثبت شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: عادی؛ کد پیگیری 0052.,2021-04-03,پیگیری تلفنی,عادی
C_015045,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0049.,2021-02-06,جلسه قیمت,عادی
C_015045,پیگیری سفارش,زمان‌بندی ارسال و ظرفیت تحویل مرور شد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0051.,2021-03-10,بازدید فنی,عادی
C_015045,وصول مطالبات,مشتری برنامه تسویه مرحله‌ای را اعلام کرد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0053.,2021-02-01,جلسه قیمت,عادی
C_015045,وصول مطالبات,مشتری برنامه تسویه مرحله‌ای را اعلام کرد. اقدام بعدی: بازدید فنی؛ فوریت: عادی؛ کد پیگیری 0055.,2021-03-16,بازدید فنی,عادی
C_015045,وصول مطالبات,زمان‌بندی پرداخت فاکتورهای باز با مشتری هماهنگ شد. اقدام بعدی: جلسه قیمت؛ فوریت: فوری؛ کد پیگیری 0058.,2021-02-12,جلسه قیمت,فوری
C_015579,پیگیری سفارش,زمان‌بندی ارسال و ظرفیت تحویل مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0054.,2020-09-22,بدون اقدام,عادی
C_015579,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0056.,2020-08-21,بدون اقدام,عادی
C_015579,نمونه محصول,مشخصات نمونه و شرایط آزمون با مشتری هماهنگ شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0060.,2020-07-20,بدون اقدام,عادی
C_015579,برنامه خرید,برآورد خرید ماه آینده و محدودیت ظرفیت مشتری بررسی شد. اقدام بعدی: پیگیری تلفنی؛ فوریت: مهم؛ کد پیگیری 0062.,2020-09-04,پیگیری تلفنی,مهم
C_015579,قیمت و تخفیف,شرایط قیمت و تخفیف پلکانی با مشتری مرور شد. اقدام بعدی: بدون اقدام؛ فوریت: عادی؛ کد پیگیری 0065.,2020-08-03,بدون اقدام,عادی
C_015746,نمونه محصول,نمونه محصول جدید برای آزمون خط مشتری درخواست شد. اقدام بعدی: جلسه قیمت؛ فوریت: عادی؛ کد پیگیری 0061.,2021-02-23,جلسه قیمت,عادی
