customer_id,Product_id,complaint_text,severity,created_at,complaint_status,text_resolution
CUST-003,PRD-POY-001,نخ در بعضي جاها سيمي ميباشد و همچنين پرز  شديد نيز در بعضي بسته ها وجود دارد.اين مشکل تکراري ميباشد و قبلا هم وجود داشته و مشتري اعلام نموده که درصورت تکرار قطع همکاري ميکند.مشتري عکس ارسال نموده است,کم,2025-04-15,پذیرفته‌شده,"ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید با توجه به بررسی‌های انجام‌شده مشخص گردید که در زمان تولید این نخ، خط تولید با شرایط متفاوت مواجه بوده و تعداد پارگی فیلامنت‌ها به‌طور قابل‌توجهی افزایش یافته است.
در همین راستا، در تاریخ 1404/01/31 موضوع با فروشنده، فرد مربوطه، مطرح و مقرر گردید در مواقع بروز بحران در خط تولید و افزایش غیرعادی پارگی فیلامنت، کلیه محصولات تولیدشده تا زمان رفع مشکل و بازگشت شرایط تولید به وضعیت عادی، در داخل شرکت نفیس نخ مصرف شده و از ارسال آن‌ها برای مشتری خودداری شود.
این موضوع در جلسه خدمات مشتری نیز مطرح و بر اجرای این تصمیم تأکید گردید. بر این اساس، محصولاتی که دارای پارگی شدید فیلامنت باشند، به‌عنوان محصول نامناسب برای ارسال به مشتری شناسایی شده و تا زمان رفع مشکل، مصرف داخلی خواهند شد."
CUST-010,PRD-POY-006,استفاده از دوك دسته دوم و تيغ خورده درقسمت رزرو و كثيفي,زیاد,2025-04-20,پذیرفته‌شده,موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید طی بازدید میدانی واحد خدمات مشتریان، موضوع **«خرابی دوک» منتفی** اعلام شد و دو مورد جدید شامل **«آسیب‌دیدگی نخ حین جابه‌جایی»** و **«لا دادن نخ»** شناسایی گردید. شکایات مربوطه نیز با شماره‌های **۱۴۱۸ و ۱۴۱۹** جهت پیگیری ثبت شد..»
CUST-019,PRD-POY-002,نخ poy كه در فروردين  ارسال شده، اشكالات زير را داشته:بوبين ها آسيب ديده هستندحالت پيچش نخ روي بوبين زاويه دار نبوده و اصطلاحا ريبوني شده(روي هم پيچيده شده) اين باعث برآمدگي بوبين در آن ناحيه شده و هنگامي كه بسته بندي شده  اين نقاط سايش روي يكديگر به وجو,کم,2025-05-05,ردشده,"«ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید.طی بازدید مورخ ۱۴۰۴/۰۲/۱۷ از آن شرکت، بررسی‌های لازم صورت پذیرفت و مشخص گردید موضوع آلودگی نخ‌های موجود روی پالت، ناشی از واژگونی پالت در محل آن شرکت بوده و این امر فاقد قصور از جانب “نفیس‌نخ” می‌باشد
در خصوص مشکل خرابی دوک‌ها، مقرر گردید تعداد ۲۴۰ عدد سردوک جهت جایگزینی ارسال گردد. همچنین، بررسی‌های فنی حاکی از آن است که مشکل پارگی و فلامنت‌پاگی سر دوک‌ها، مربوط به رینگ‌های ابتدای تولید است که عملیات “بادگیری” روی آن‌ها صورت نگرفته بود؛ لذا در این خصوص الزام به انجام عملیات بادگیری ابلاغ گردید.»"
CUST-010,PRD-POY-003,آسيب ديدگي بار هنگام حمل و نقل و ارسال نخ,متوسط,2025-05-11,پذیرفته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید.پیرو بازدید انجام‌شده از محل مشتری، علت آسیب به نخ‌ها، برخورد لایی های پالت‌های مجاور تشخیص داده شد. متعاقباً، این مورد در کمیته S&OP مورد بحث و بررسی قرار گرفت و در راستای پیشگیری از تکرار این مسئله، اتخاذ تدابیر لازم در انبار محصول جهت اصلاح چیدمان و شرایط نگهداری مصوب گردید. .
CUST-010,PRD-POY-002,جدا بودن لاي نخ,کم,2025-05-11,پذیرفته‌شده,در مورخ 22/02/1404 در اتوماسيون نامه اي به شماره 8709/04 ثبت شده است . و موضوع جهت رفع مشکل براي سرپرست سالن POY تشريح شد.(اصلاح فشار بادجت در تولیدات بعدی)
CUST-015,PRD-POY-009,در همبافت هاي 1178710000-1182810000-118811000سر دوک پليسه دارد و بسته بندي نخ نامناسب است-در همبافت 1182810000نخ هاي ريز به عنوان نخ AW بسته بندي شده و در همبافت 1188110000فيلامنت پارگي در بسته نخ مشاهده ميشود.(مشتري عکس ارسال نموده),کم,2025-05-23,پذیرفته‌شده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید.با توجه به استفاده از دوک دست دوم ووجود پیلسه سر دوک ،جهت اين شرکت سر دوک درخواست شد ودر تاريخ 08/04/1404 ارسال گرديد.پس از پیگیری مجدد موضوع پس از استفاده سر دوک مرتفع گردید.
CUST-016,PRD-POY-006,طبق اعلام مشتري اين پارت ارسال شده نخ فيلامنت پارگي و پليسه دار بودن دوک.,کم,2025-06-08,ردشده,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید .پیرو بازدید انجام‌شده از واحد بسته‌بندی POY، هیچ‌گونه مغایرتی در زمینه آسیب دیدگی در دوک‌ها مشاهده نگردید. در همین راستا، موضوع به سیستم کنترل کیفیت و بسته‌بندی ابلاغ شد. همچنین،به دلیل استفاده از دوک دست دوم، در راستای سهولت در مصرف نخ و رضایت مشتری ، در تاریخ ۱۴۰۴/۰۴/۰۸  برای مشتری سر دوک ارسال گردید..پس از پیگیری مجدد موضوع پس از استفاده سر دوک مرتفع گردید.
CUST-019,PRD-POY-009,در همبافت 116811 زير دست مناسب است ولي در همبافتهاي 118141و118351 زير دست مناسب نيست. همچنين مشتري افزابش رنج دنير را نيز درخواست نموده است,زیاد,2025-06-28,ردشده,"در بازدید حضوری موضوع بررسی گردید ، مشکل زیر دست پتو به فرآیند تکسچرایزینگ و تکمیل پتو مربوط  می باشد ،لذا موارد دیگر که مربوط موضوعات کیفی نخ POY بود دریافت گردید و جلسه ای با حضور فرد مربوطه  سرپرست سالن صورت پذیرفت .
زير دست نا مناسب پتو مربوط به فرايند تکميل شرکت مقصد بوده و بنابر اين شکايت وارد نميباشد"
CUST-012,PRD-POY-012,کارکرد نامناسب نخ درجات,زیاد,2025-07-14,پذیرفته‌شده,در تاريخ 24/4/1404 از اين شرکت بازديد شد و مشاوره جهت تغییر ستينگ تولیدی به اين شرکت داده شد سه نمونه نخ کشي شد که  مشکل مرتفع گردید.
CUST-019,PRD-POY-004,طبق اعلام مشتري يک پالت از بار ارسال شده در محل مشتري قبل از تخليه، داراي دفرمگي و آسيب ديدگي بوده است  از مشتري عکس دريافت شده,متوسط,2025-07-20,پذیرفته‌شده,.ابتدا موضوع از داخل سازمان بررسی شد و نظرات واحدهای مرتبط دریافت گردید.در بررسی تصاویر دریافتی زمان بارگیری عیب وجود داشت که جهت واحد انبار و بسته بندي در جلسه کام فرايندي اقدام اصلاحي صادر گرديد و مقرر شد قبل از ارسال پالت کاملا بازبینی و در صورت وجود هر گونه مشکل به واحد بسته بندی مرجوع و پس از رفع عیب ارسال گردد.
